GeForce GTX 1080 Ti,Nvidia,GTX series,Desktop,14221,949
GeForce RTX 2080,Nvidia,RTX series,Desktop,15502,649
Intel Coffee Lake UHD,Intel,Intel Coffee Lake series,Mobile,1158,45
Intel Iris pro 5200,Intel,Iris series,Mobile,1173,45
Radeon RX 480,AMD,RX series,Desktop,8153,349
Radeon RX Vega 56,AMD,RX series,Desktop,12062,264
GeForce RTX 1660 TI GAMING X,MSI,RTX series,Desktop,11523,247
Radeon RX 5700 GAMING X,MSI,RX series,Desktop,13804,841
AORUS GeForce RTX 2080 SUPER WATERFORCE,Gigabyte,RTX series,Desktop,15881,949
Radeon RX 5700 GAMING OC,Gigabyte,RX series,Desktop,13804,850
EVGA GeForce RTX 2060 SUPER XC BLACK GAMING,EVGA,RTX series,Desktop,13770,399
EVGA GeForce GTX 1060 SC GAMING,EVGA,GTX series,Desktop,9097,313